0 0.99 0.01 
0.1 0.989878 0.0101221 
0.2 0.989754 0.0102456 
0.3 0.989629 0.0103706 
0.4 0.989503 0.0104971 
0.5 0.989375 0.0106251 
0.6 0.989245 0.0107547 
0.7 0.989114 0.0108858 
0.8 0.988982 0.0110185 
0.9 0.988847 0.0111527 
1 0.988711 0.0112886 
1.1 0.988574 0.0114261 
1.2 0.988435 0.0115652 
1.3 0.988294 0.011706 
1.4 0.988152 0.0118485 
1.5 0.988007 0.0119927 
1.6 0.987861 0.0121386 
1.7 0.987714 0.0122862 
1.8 0.987564 0.0124356 
1.9 0.987413 0.0125868 
2 0.98726 0.0127397 
2.1 0.987105 0.0128945 
2.2 0.986949 0.0130512 
2.3 0.98679 0.0132096 
2.4 0.98663 0.01337 
2.5 0.986468 0.0135323 
2.6 0.986304 0.0136965 
2.7 0.986137 0.0138626 
2.8 0.985969 0.0140308 
2.9 0.985799 0.0142009 
3 0.985627 0.014373 
3.1 0.985453 0.0145471 
3.2 0.985277 0.0147234 
3.3 0.985098 0.0149017 
3.4 0.984918 0.0150821 
3.5 0.984735 0.0152646 
3.6 0.984551 0.0154493 
3.7 0.984364 0.0156361 
3.8 0.984175 0.0158252 
3.9 0.983984 0.0160165 
4 0.98379 0.01621 
4.1 0.983594 0.0164058 
4.2 0.983396 0.0166039 
4.3 0.983196 0.0168044 
4.4 0.982993 0.0170072 
4.5 0.982788 0.0172123 
4.6 0.98258 0.0174199 
4.7 0.98237 0.0176299 
4.8 0.982158 0.0178423 
4.9 0.981943 0.0180573 
5 0.981725 0.0182747 
5.1 0.981505 0.0184947 
5.2 0.981283 0.0187172 
5.3 0.981058 0.0189424 
5.4 0.98083 0.0191701 
5.5 0.980599 0.0194006 
5.6 0.980366 0.0196336 
5.7 0.980131 0.0198694 
5.8 0.979892 0.020108 
5.9 0.979651 0.0203493 
6 0.979407 0.0205934 
6.1 0.97916 0.0208403 
6.2 0.97891 0.0210901 
6.3 0.978657 0.0213427 
6.4 0.978402 0.0215983 
6.5 0.978143 0.0218568 
6.6 0.977882 0.0221184 
6.7 0.977617 0.0223829 
6.8 0.97735 0.0226504 
6.9 0.977079 0.0229211 
