0 0.99 0.01 0 
0.1 0.989811 0.0101221 6.70393e-05 
0.2 0.98962 0.0102456 0.00013483 
0.3 0.989426 0.0103705 0.00020338 
0.4 0.98923 0.010497 0.0002727 
0.5 0.989032 0.0106249 0.000342797 
0.6 0.988832 0.0107544 0.000413683 
0.7 0.988629 0.0108854 0.000485365 
0.8 0.988424 0.011018 0.000557854 
0.9 0.988217 0.0111521 0.000631159 
1 0.988007 0.0112878 0.00070529 
1.1 0.987795 0.0114251 0.000780256 
1.2 0.98758 0.0115641 0.000856068 
1.3 0.987363 0.0117046 0.000932735 
1.4 0.987143 0.0118469 0.00101027 
1.5 0.986921 0.0119908 0.00108868 
1.6 0.986696 0.0121364 0.00116797 
1.7 0.986468 0.0122837 0.00124816 
1.8 0.986238 0.0124327 0.00132926 
1.9 0.986005 0.0125835 0.00141128 
2 0.98577 0.0127361 0.00149422 
2.1 0.985531 0.0128904 0.00157811 
2.2 0.98529 0.0130466 0.00166294 
2.3 0.985047 0.0132046 0.00174874 
2.4 0.9848 0.0133644 0.00183551 
2.5 0.984551 0.0135261 0.00192326 
2.6 0.984298 0.0136897 0.00201201 
2.7 0.984043 0.0138552 0.00210177 
2.8 0.983785 0.0140226 0.00219255 
2.9 0.983524 0.014192 0.00228436 
3 0.983259 0.0143633 0.00237721 
3.1 0.982992 0.0145367 0.00247112 
3.2 0.982722 0.014712 0.0025661 
3.3 0.982448 0.0148894 0.00266215 
3.4 0.982172 0.0150689 0.0027593 
3.5 0.981892 0.0152504 0.00285756 
3.6 0.981609 0.015434 0.00295693 
3.7 0.981323 0.0156197 0.00305743 
3.8 0.981033 0.0158076 0.00315908 
3.9 0.98074 0.0159977 0.00326189 
4 0.980444 0.0161899 0.00336586 
4.1 0.980145 0.0163844 0.00347103 
4.2 0.979842 0.0165811 0.00357739 
4.3 0.979535 0.01678 0.00368496 
4.4 0.979225 0.0169812 0.00379375 
4.5 0.978911 0.0171848 0.00390379 
4.6 0.978594 0.0173906 0.00401508 
4.7 0.978274 0.0175989 0.00412764 
4.8 0.977949 0.0178095 0.00424148 
4.9 0.977621 0.0180225 0.00435662 
5 0.977289 0.0182379 0.00447307 
5.1 0.976953 0.0184558 0.00459085 
5.2 0.976614 0.0186761 0.00470997 
5.3 0.976271 0.018899 0.00483045 
5.4 0.975923 0.0191244 0.0049523 
5.5 0.975572 0.0193523 0.00507554 
5.6 0.975217 0.0195828 0.00520019 
5.7 0.974858 0.0198159 0.00532625 
5.8 0.974495 0.0200517 0.00545375 
5.9 0.974127 0.0202901 0.00558271 
6 0.973756 0.0205312 0.00571313 
6.1 0.97338 0.020775 0.00584504 
6.2 0.973 0.0210215 0.00597844 
6.3 0.972616 0.0212708 0.00611337 
6.4 0.972227 0.0215229 0.00624983 
6.5 0.971834 0.0217778 0.00638785 
6.6 0.971437 0.0220356 0.00652744 
6.7 0.971035 0.0222962 0.00666861 
6.8 0.970629 0.0225597 0.00681139 
6.9 0.970218 0.0228262 0.00695579 
7 0.969803 0.0230956 0.00710183 
7.1 0.969382 0.023368 0.00724953 
7.2 0.968958 0.0236434 0.00739891 
7.3 0.968528 0.0239218 0.00754999 
7.4 0.968094 0.0242034 0.00770278 
7.5 0.967655 0.024488 0.0078573 
7.6 0.967211 0.0247757 0.00801357 
7.7 0.966762 0.0250666 0.00817162 
7.8 0.966308 0.0253607 0.00833146 
7.9 0.965849 0.025658 0.00849311 
8 0.965385 0.0259586 0.00865659 
8.1 0.964916 0.0262624 0.00882191 
8.2 0.964441 0.0265695 0.00898911 
8.3 0.963962 0.02688 0.0091582 
8.4 0.963477 0.0271938 0.0093292 
8.5 0.962987 0.0275111 0.00950214 
8.6 0.962491 0.0278317 0.00967702 
8.7 0.96199 0.0281558 0.00985388 
8.8 0.961484 0.0284834 0.0100327 
8.9 0.960972 0.0288146 0.0102136 
9 0.960454 0.0291492 0.0103965 
9.1 0.959931 0.0294875 0.0105815 
9.2 0.959402 0.0298293 0.0107685 
9.3 0.958867 0.0301748 0.0109577 
9.4 0.958327 0.030524 0.0111489 
9.5 0.957781 0.0308769 0.0113424 
9.6 0.957229 0.0312335 0.011538 
9.7 0.95667 0.0315939 0.0117357 
9.8 0.956106 0.0319581 0.0119357 
9.9 0.955536 0.0323261 0.012138 
10 0.95496 0.032698 0.0123425 
10.1 0.954377 0.0330737 0.0125493 
10.2 0.953788 0.0334534 0.0127584 
10.3 0.953193 0.0338371 0.0129698 
10.4 0.952592 0.0342247 0.0131836 
10.5 0.951984 0.0346164 0.0133998 
10.6 0.951369 0.0350121 0.0136184 
10.7 0.950749 0.035412 0.0138394 
10.8 0.950121 0.0358159 0.0140629 
10.9 0.949487 0.036224 0.0142888 
11 0.948846 0.0366362 0.0145173 
11.1 0.948199 0.0370527 0.0147483 
11.2 0.947545 0.0374734 0.0149818 
11.3 0.946884 0.0378984 0.015218 
11.4 0.946216 0.0383278 0.0154567 
11.5 0.94554 0.0387614 0.0156981 
11.6 0.944858 0.0391994 0.0159421 
11.7 0.944169 0.0396419 0.0161889 
11.8 0.943473 0.0400888 0.0164383 
11.9 0.942769 0.0405401 0.0166905 
12 0.942059 0.0409959 0.0169455 
12.1 0.94134 0.0414563 0.0172033 
12.2 0.940615 0.0419213 0.0174638 
12.3 0.939882 0.0423908 0.0177273 
12.4 0.939141 0.042865 0.0179936 
12.5 0.938393 0.0433438 0.0182628 
12.6 0.937638 0.0438273 0.018535 
12.7 0.936874 0.0443156 0.0188102 
12.8 0.936103 0.0448086 0.0190883 
