10.9 0.322339 0.188144 0.352298 0.13722 
11 0.318633 0.188136 0.354259 0.138973 
11.1 0.31495 0.188106 0.356209 0.140735 
11.2 0.31129 0.188054 0.358149 0.142507 
11.3 0.307655 0.187979 0.360078 0.144288 
11.4 0.304044 0.187882 0.361996 0.146079 
11.5 0.300457 0.187764 0.363901 0.147879 
11.6 0.296895 0.187623 0.365794 0.149688 
11.7 0.293357 0.187461 0.367675 0.151507 
11.8 0.289845 0.187278 0.369542 0.153334 
11.9 0.286359 0.187073 0.371396 0.155171 
12 0.282898 0.186848 0.373237 0.157017 
12.1 0.279463 0.186601 0.375063 0.158872 
12.2 0.276054 0.186334 0.376875 0.160736 
12.3 0.272672 0.186047 0.378672 0.162609 
12.4 0.269316 0.185739 0.380454 0.16449 
12.5 0.265987 0.185411 0.382221 0.16638 
12.6 0.262685 0.185063 0.383972 0.168279 
12.7 0.259411 0.184696 0.385707 0.170186 
12.8 0.256163 0.184309 0.387426 0.172102 
12.9 0.252943 0.183903 0.389128 0.174026 
13 0.249751 0.183478 0.390813 0.175959 
13.1 0.246586 0.183034 0.39248 0.177899 
13.2 0.24345 0.182572 0.394131 0.179848 
13.3 0.240341 0.182092 0.395763 0.181804 
13.4 0.23726 0.181593 0.397377 0.183769 
13.5 0.234208 0.181077 0.398973 0.185741 
13.6 0.231184 0.180544 0.400551 0.187722 
13.7 0.228188 0.179993 0.402109 0.189709 
13.8 0.225221 0.179425 0.403649 0.191705 
13.9 0.222283 0.178841 0.405169 0.193708 
14 0.219373 0.17824 0.40667 0.195718 
14.1 0.216491 0.177623 0.408151 0.197735 
14.2 0.213639 0.17699 0.409611 0.19976 
14.3 0.210815 0.176342 0.411052 0.201791 
14.4 0.208019 0.175678 0.412472 0.20383 
14.5 0.205253 0.175 0.413872 0.205875 
14.6 0.202515 0.174307 0.415251 0.207927 
14.7 0.199806 0.173599 0.416609 0.209986 
14.8 0.197126 0.172878 0.417945 0.212051 
14.9 0.194474 0.172142 0.419261 0.214123 
15 0.191851 0.171393 0.420554 0.216201 
15.1 0.189257 0.170631 0.421827 0.218285 
15.2 0.186691 0.169856 0.423077 0.220376 
15.3 0.184154 0.169069 0.424305 0.222472 
15.4 0.181645 0.168269 0.425512 0.224574 
15.5 0.179165 0.167457 0.426696 0.226682 
15.6 0.176713 0.166634 0.427858 0.228796 
15.7 0.174289 0.165799 0.428997 0.230915 
15.8 0.171893 0.164953 0.430114 0.233039 
15.9 0.169525 0.164097 0.431208 0.235169 
16 0.167186 0.16323 0.432279 0.237304 
16.1 0.164874 0.162353 0.433328 0.239445 
16.2 0.16259 0.161467 0.434354 0.24159 
16.3 0.160333 0.160571 0.435356 0.24374 
16.4 0.158104 0.159665 0.436336 0.245895 
16.5 0.155903 0.158751 0.437292 0.248054 
16.6 0.153728 0.157829 0.438225 0.250218 
16.7 0.151581 0.156898 0.439135 0.252386 
16.8 0.14946 0.155959 0.440022 0.254559 
16.9 0.147366 0.155013 0.440886 0.256735 
17 0.145299 0.154059 0.441726 0.258916 
17.1 0.143258 0.153098 0.442542 0.261101 
17.2 0.141244 0.152131 0.443336 0.263289 
17.3 0.139255 0.151157 0.444106 0.265482 
17.4 0.137293 0.150178 0.444852 0.267677 
17.5 0.135356 0.149192 0.445575 0.269876 
17.6 0.133445 0.148201 0.446275 0.272079 
17.7 0.131559 0.147205 0.446951 0.274285 
17.8 0.129699 0.146204 0.447604 0.276494 
17.9 0.127863 0.145198 0.448234 0.278705 
18 0.126052 0.144188 0.44884 0.28092 
18.1 0.124266 0.143173 0.449423 0.283138 
18.2 0.122504 0.142155 0.449983 0.285358 
18.3 0.120766 0.141134 0.45052 0.28758 
18.4 0.119053 0.140109 0.451033 0.289805 
18.5 0.117363 0.139081 0.451523 0.292033 
18.6 0.115696 0.138051 0.451991 0.294262 
18.7 0.114053 0.137018 0.452435 0.296494 
18.8 0.112433 0.135983 0.452857 0.298727 
18.9 0.110836 0.134946 0.453255 0.300962 
19 0.109262 0.133907 0.453631 0.3032 
19.1 0.10771 0.132867 0.453985 0.305438 
19.2 0.10618 0.131826 0.454315 0.307678 
19.3 0.104673 0.130784 0.454624 0.30992 
19.4 0.103187 0.129741 0.45491 0.312162 
19.5 0.101723 0.128698 0.455173 0.314406 
19.6 0.10028 0.127654 0.455415 0.316651 
19.7 0.098858 0.126611 0.455634 0.318897 
19.8 0.0974571 0.125567 0.455832 0.321144 
19.9 0.0960768 0.124525 0.456007 0.323391 
20 0.094717 0.123482 0.456162 0.325639 
20.1 0.0933774 0.122441 0.456294 0.327888 
20.2 0.0920577 0.121401 0.456405 0.330136 
20.3 0.0907578 0.120362 0.456495 0.332386 
20.4 0.0894775 0.119324 0.456563 0.334635 
20.5 0.0882164 0.118289 0.456611 0.336884 
